Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
29070000,1.9833232,None,None,-0.004541927,None,None,1.0
29080000,1.9588594,1038.6666666666667,1220.7401955062257,0.018983288,0.3333333333333333,0.3333333333333333,1.0
29090000,1.9689379,2192.5,1220.1996219881162,0.0051004677,-0.3333333333333333,-0.3333333333333333,1.0
29100000,1.9976518,2708.0,1220.571780566467,0.014165669,0.5,0.5,1.0
29110000,1.9896822,2152.0,1221.5716748718064,0.01332514,1.0,1.0,1.0
29120000,1.9657439,None,None,0.015846167,None,None,1.0
29130000,1.9943392,3432.0,1222.1993780285977,0.023355985,0.25,0.25,1.0
29140000,2.0073667,3729.75,1222.5694351002396,0.02008244,0.5,0.5,1.0
29150000,2.0234294,5999.0,1222.318509505525,-0.00048380354,-0.5,-0.5,1.0
29160000,1.9882677,4908.5,1222.570057624308,0.0009482722,0.5,0.5,1.0
29170000,1.9769298,1950.0,1223.069982714301,0.020513741,1.0,1.0,1.0
29180000,2.0139654,5999.0,1223.5673470713264,0.006355903,1.0,1.0,1.0
29190000,1.9968725,5999.0,1223.5654837039056,0.0055308156,0.0,0.0,1.0
29200000,1.9988337,5999.0,1223.559510606645,0.0047421167,0.0,0.0,1.0
29210000,1.9624138,5999.0,1224.0531725020646,0.0017383607,1.0,1.0,1.0
29220000,1.9894162,5999.0,1224.0484044478067,0.01609502,0.0,0.0,1.0
29230000,1.993351,4620.333333333333,1224.7076524921265,0.01617742,0.6666666666666666,0.6666666666666666,1.0
29240000,1.994543,5999.0,1225.0339472494459,0.008284706,0.0,0.0,1.0
29250000,1.9895215,5999.0,1225.1905682542192,0.030670326,0.3333333333333333,0.3333333333333333,1.0
29260000,1.992328,5999.0,1225.5126403959432,0.01663046,0.0,0.0,1.0
29270000,1.959485,1635.0,1226.0085489721082,0.01318855,1.0,1.0,1.0
29280000,1.9951614,1016.5,1225.4928390003479,-0.0042513655,-0.25,-0.25,1.0
29290000,2.0027697,2442.3333333333335,1225.482865270308,0.00094569003,0.0,0.0,1.0
29300000,2.0030282,3699.0,1225.4794652792264,0.0016259834,0.0,0.0,1.0
29310000,2.0110083,None,None,0.011323171,None,None,1.0
29320000,1.9982656,4081.0,1225.4720624440845,0.009426066,0.0,0.0,1.0
29330000,2.0128613,5107.333333333333,1224.962276035461,0.015088867,-0.5,-0.5,1.0
29340000,2.0343041,5345.0,1224.958543241045,0.047511145,0.6666666666666666,0.6666666666666666,1.0
29350000,2.012202,5999.0,1224.9471934632686,0.013184665,0.0,0.0,1.0
